0,0,0.0,0.0,0.0;0,1,0.0,0.0,0.0;0,2,0.0,0.0,0.0;0,3,0.0,0.0,0.0;0,4,0.0,0.0,0.0;1,0,0.0,0.0,0.0;1,1,0.0,0.0,0.0;1,2,12.0,0.44768427198889976,-1.3286874647407971;1,3,0.0,0.0,0.0;1,4,0.0,0.0,0.0;2,0,0.0,0.0,0.0;2,1,16.0,-1.2835807994341555,0.3630437649181812;2,2,1972.0,0.016345899020035352,0.0396799485690613;2,3,0.0,0.0,0.0;2,4,0.0,0.0,0.0;3,0,0.0,0.0,0.0;3,1,0.0,0.0,0.0;3,2,0.0,0.0,0.0;3,3,0.0,0.0,0.0;3,4,0.0,0.0,0.0;4,0,0.0,0.0,0.0;4,1,0.0,0.0,0.0;4,2,0.0,0.0,0.0;4,3,0.0,0.0,0.0;4,4,0.0,0.0,0.0;
0,0,0.0,0.0,0.0;0,1,0.0,0.0,0.0;0,2,0.0,0.0,0.0;0,3,0.0,0.0,0.0;0,4,0.0,0.0,0.0;1,0,0.0,0.0,0.0;1,1,0.0,0.0,0.0;1,2,29.0,0.546999825828721,-2.2155764816060666;1,3,0.0,0.0,0.0;1,4,0.0,0.0,0.0;2,0,0.0,0.0,0.0;2,1,38.0,-2.324508861389948,0.22816679009618498;2,2,1920.0,0.06671915203651647,0.10210590486457137;2,3,7.0,2.915943195144274,0.6331348407324062;2,4,0.0,0.0,0.0;3,0,0.0,0.0,0.0;3,1,0.0,0.0,0.0;3,2,6.0,0.25395795449709196,6.9149216140703915;3,3,0.0,0.0,0.0;3,4,0.0,0.0,0.0;4,0,0.0,0.0,0.0;4,1,0.0,0.0,0.0;4,2,0.0,0.0,0.0;4,3,0.0,0.0,0.0;4,4,0.0,0.0,0.0;
0,0,0.0,0.0,0.0;0,1,0.0,0.0,0.0;0,2,0.0,0.0,0.0;0,3,0.0,0.0,0.0;0,4,0.0,0.0,0.0;1,0,0.0,0.0,0.0;1,1,6.0,-3.1960835331606705,-3.4666470333898602;1,2,55.0,-0.21368209708958943,-2.8418867428534162;1,3,0.0,0.0,0.0;1,4,0.0,0.0,0.0;2,0,0.0,0.0,0.0;2,1,50.0,-3.5213332157523944,0.9213561013096687;2,2,1821.0,0.02079372639144826,0.1981555757156462;2,3,32.0,4.254597874931461,0.013914775900382773;2,4,0.0,0.0,0.0;3,0,0.0,0.0,0.0;3,1,0.0,0.0,0.0;3,2,36.0,0.6117457083766931,4.95688254590161;3,3,0.0,0.0,0.0;3,4,0.0,0.0,0.0;4,0,0.0,0.0,0.0;4,1,0.0,0.0,0.0;4,2,0.0,0.0,0.0;4,3,0.0,0.0,0.0;4,4,0.0,0.0,0.0;
0,0,0.0,0.0,0.0;0,1,0.0,0.0,0.0;0,2,0.0,0.0,0.0;0,3,0.0,0.0,0.0;0,4,0.0,0.0,0.0;1,0,0.0,0.0,0.0;1,1,6.0,-4.172687456476225,-4.159860927084992;1,2,70.0,0.38824891633163483,-4.51886077179097;1,3,2.0,3.4299432094491635,-4.355726981716941;1,4,0.0,0.0,0.0;2,0,0.0,0.0,0.0;2,1,64.0,-4.6806869591739515,0.22220057240332095;2,2,1741.0,0.01850208617260184,0.21067336974748088;2,3,52.0,4.753939630750246,-0.3531853986271232;2,4,0.0,0.0,0.0;3,0,0.0,0.0,0.0;3,1,1.0,-5.704770661648862,5.312794591431204;3,2,63.0,0.420072567311376,4.8722991464628835;3,3,1.0,5.598538056521409,3.457161454956124;3,4,0.0,0.0,0.0;4,0,0.0,0.0,0.0;4,1,0.0,0.0,0.0;4,2,0.0,0.0,0.0;4,3,0.0,0.0,0.0;4,4,0.0,0.0,0.0;
0,0,0.0,0.0,0.0;0,1,0.0,0.0,0.0;0,2,0.0,0.0,0.0;0,3,0.0,0.0,0.0;0,4,0.0,0.0,0.0;1,0,0.0,0.0,0.0;1,1,7.0,-3.750394177556579,-6.147893637565263;1,2,87.0,0.2342487129382333,-4.527354343106609;1,3,6.0,5.31018769904912,-4.01821631650962;1,4,0.0,0.0,0.0;2,0,0.0,0.0,0.0;2,1,87.0,-4.687000112452218,0.345215609361397;2,2,1656.0,0.040945399549993614,0.2623069419117064;2,3,71.0,4.769355055440552,-0.10602723412045083;2,4,0.0,0.0,0.0;3,0,0.0,0.0,0.0;3,1,1.0,-6.127249888102777,6.395671837631139;3,2,83.0,0.27175489346432075,5.0116329116966885;3,3,2.0,6.088906730995271,2.716867504902778;3,4,0.0,0.0,0.0;4,0,0.0,0.0,0.0;4,1,0.0,0.0,0.0;4,2,0.0,0.0,0.0;4,3,0.0,0.0,0.0;4,4,0.0,0.0,0.0;
0,0,0.0,0.0,0.0;0,1,0.0,0.0,0.0;0,2,0.0,0.0,0.0;0,3,0.0,0.0,0.0;0,4,0.0,0.0,0.0;1,0,0.0,0.0,0.0;1,1,10.0,-5.19386552209527,-5.917504269187698;1,2,97.0,0.14003365937750958,-4.522307611116273;1,3,11.0,5.5404050975295585,-3.8180481443136647;1,4,0.0,0.0,0.0;2,0,0.0,0.0,0.0;2,1,105.0,-4.9857764457733555,-0.05514002238307674;2,2,1585.0,0.011993020330115626,0.18217638190877677;2,3,83.0,5.512032881649747,0.14240832509239282;2,4,0.0,0.0,0.0;3,0,0.0,0.0,0.0;3,1,6.0,-6.356405268245607,5.199786786352971;3,2,99.0,0.6003541469283634,5.279860833849744;3,3,4.0,6.0669579166436405,5.363446360486208;3,4,0.0,0.0,0.0;4,0,0.0,0.0,0.0;4,1,0.0,0.0,0.0;4,2,0.0,0.0,0.0;4,3,0.0,0.0,0.0;4,4,0.0,0.0,0.0;
0,0,0.0,0.0,0.0;0,1,0.0,0.0,0.0;0,2,2.0,-9.78345766169978,-42.32234233607614;0,3,0.0,0.0,0.0;0,4,0.0,0.0,0.0;1,0,0.0,0.0,0.0;1,1,13.0,-5.35948416668652,-5.73120644275993;1,2,102.0,0.04902015278018771,-3.880540408788696;1,3,14.0,5.659652108027524,-4.064786938696348;1,4,0.0,0.0,0.0;2,0,1.0,-43.113136138666185,8.681028678595014;2,1,127.0,-5.2342135652328,-0.22957574509196402;2,2,1522.0,0.04130114387012719,0.20871326702771226;2,3,93.0,5.8890732788309865,0.2193050134066752;2,4,0.0,0.0,0.0;3,0,0.0,0.0,0.0;3,1,7.0,-6.2305451730913655,4.981604386628661;3,2,111.0,0.8020427719599058,6.075355609797326;3,3,8.0,5.970974120221879,4.856026654665097;3,4,0.0,0.0,0.0;4,0,0.0,0.0,0.0;4,1,0.0,0.0,0.0;4,2,0.0,0.0,0.0;4,3,0.0,0.0,0.0;4,4,0.0,0.0,0.0;
0,0,0.0,0.0,0.0;0,1,0.0,0.0,0.0;0,2,2.0,-9.37815987964737,-41.532053932050815;0,3,0.0,0.0,0.0;0,4,0.0,0.0,0.0;1,0,0.0,0.0,0.0;1,1,15.0,-5.716242184234222,-5.837448049065901;1,2,108.0,0.913187900469213,-4.4090578877550515;1,3,18.0,5.310221213931127,-4.879768296410745;1,4,0.0,0.0,0.0;2,0,0.0,0.0,0.0;2,1,151.0,-5.778394862321411,-0.2938208636580124;2,2,1448.0,0.09970983400164021,0.25449486045814657;2,3,117.0,5.9736633953285505,0.21996833167971608;2,4,0.0,0.0,0.0;3,0,1.0,-42.576757830374824,8.247557645439583;3,1,8.0,-6.031526243527326,5.0993984778268455;3,2,121.0,0.699121529581384,6.157948627635235;3,3,11.0,6.086447183384774,5.856797360204547;3,4,0.0,0.0,0.0;4,0,0.0,0.0,0.0;4,1,0.0,0.0,0.0;4,2,0.0,0.0,0.0;4,3,0.0,0.0,0.0;4,4,0.0,0.0,0.0;
0,0,0.0,0.0,0.0;0,1,0.0,0.0,0.0;0,2,2.0,-9.105732963298744,-40.72796869000443;0,3,0.0,0.0,0.0;0,4,0.0,0.0,0.0;1,0,0.0,0.0,0.0;1,1,19.0,-5.0500775887189,-6.21557485902587;1,2,116.0,0.7579701379173567,-4.7710562653171;1,3,22.0,5.255354083772835,-5.255272798591517;1,4,0.0,0.0,0.0;2,0,0.0,0.0,0.0;2,1,169.0,-6.121066759506652,-0.2012674794366243;2,2,1384.0,0.2224676667788736,0.10787811298718636;2,3,130.0,6.17042758239514,0.5211684092104237;2,4,0.0,0.0,0.0;3,0,1.0,-41.35188258646951,8.328190105535306;3,1,9.0,-5.883643244403171,5.517753047815021;3,2,131.0,0.6750070557120698,6.792416842741192;3,3,17.0,5.610011922170994,5.454726187795922;3,4,0.0,0.0,0.0;4,0,0.0,0.0,0.0;4,1,0.0,0.0,0.0;4,2,0.0,0.0,0.0;4,3,0.0,0.0,0.0;4,4,0.0,0.0,0.0;
0,0,0.0,0.0,0.0;0,1,0.0,0.0,0.0;0,2,1.0,-12.495900819562516,-32.60710252134521;0,3,0.0,0.0,0.0;0,4,0.0,0.0,0.0;1,0,0.0,0.0,0.0;1,1,28.0,-4.827211984236057,-5.938895254668665;1,2,130.0,0.5777448018193289,-5.680405393404415;1,3,25.0,5.591858194514,-6.162444793553934;1,4,0.0,0.0,0.0;2,0,0.0,0.0,0.0;2,1,185.0,-6.148543544038191,0.10757740844098447;2,2,1307.0,0.2797159766777853,0.11575768207032537;2,3,142.0,6.641220020862217,0.49188977708660253;2,4,0.0,0.0,0.0;3,0,1.0,-40.540743432105415,8.131136226613114;3,1,15.0,-5.984426272468263,5.207874743121396;3,2,139.0,0.47169105671969935,6.8316900805099126;3,3,26.0,5.539261050539636,5.748855280759392;3,4,0.0,0.0,0.0;4,0,0.0,0.0,0.0;4,1,0.0,0.0,0.0;4,2,1.0,-5.941849115632634,-47.29022276942068;4,3,0.0,0.0,0.0;4,4,0.0,0.0,0.0;
